customer_id,customer_name,city,phone,subscribtion_date,gender,age
1,SMITH,cairo,20136684380,2022-01-02,male,44
2,JOHNSON,alex,20134416359,2022-01-02,male,37
3,WILLIAMS,mansoura,20129245482,2022-01-03,male,37
4,BROWN,tanta,20125865130,2022-01-04,male,18
5,JONES,cairo,20139280484,2022-01-02,male,22
6,MILLER,cairo,20164693061,2022-01-02,male,48
7,DAVIS,alex,2017308058,2022-01-03,male,20
8,GARCIA,alex,20159932848,2022-01-04,female,65
9,RODRIGUEZ,alex,20153669247,2022-01-05,female,41
10,WILSON,cairo,20178133321,2022-01-06,male,24
11,MARTINEZ,cairo,20117027889,2022-01-05,male,51
12,ANDERSON,cairo,20131941926,2022-01-06,male,18
13,TAYLOR,alex,20147584329,2022-01-05,male,26
14,THOMAS,mansoura,20189002388,2022-01-06,male,26
15,HERNANDEZ,tanta,20124628705,2022-01-07,female,27
16,MOORE,cairo,2015149939,2022-01-08,female,55
17,MARTIN,cairo,20161468618,2022-01-09,male,60
18,JACKSON,alex,20119764433,2022-01-10,male,38
19,THOMPSON,alex,20145489359,2022-01-11,male,36
20,WHITE,alex,20138687807,2022-01-12,female,21
21,LOPEZ,cairo,20171615381,2022-01-10,male,16
22,LEE,cairo,20140955679,2022-01-11,female,35
23,GONZALEZ,cairo,20124775021,2022-01-12,male,18
24,HARRIS,alex,20138424624,2022-01-12,male,28
25,CLARK,mansoura,20163723598,2022-01-02,male,36
26,LEWIS,tanta,20164950904,2022-01-02,male,35
27,ROBINSON,cairo,20143913796,2022-01-03,male,52
28,WALKER,cairo,20185909549,2022-01-04,male,16
29,PEREZ,alex,20181738769,2022-01-02,male,55
30,HALL,alex,20175413466,2022-01-02,female,60
31,YOUNG,alex,20123698192,2022-01-03,female,32
32,ALLEN,cairo,20172542184,2022-01-04,male,20
33,SANCHEZ,cairo,20110697996,2022-01-05,male,50
34,WRIGHT,cairo,20178222964,2022-01-06,male,23
35,KING,alex,20165201021,2022-01-05,male,42
36,SCOTT,mansoura,2019189385,2022-01-06,male,40
37,GREEN,tanta,20124270919,2022-01-05,female,53
38,BAKER,cairo,20166803443,2022-01-06,female,39
39,ADAMS,cairo,20168230451,2022-01-07,male,66
40,NELSON,alex,20177657788,2022-01-08,male,47
41,HILL,alex,20177785658,2022-01-09,male,26
42,RAMIREZ,alex,2015029076,2022-01-10,female,62
43,CAMPBELL,cairo,20193709111,2022-01-11,male,51
44,MITCHELL,cairo,20139747757,2022-01-12,female,20
45,ROBERTS,cairo,20155751639,2022-01-10,male,37
46,CARTER,alex,20144263088,2022-01-11,male,54
47,PHILLIPS,mansoura,20191147277,2022-01-12,male,47
48,EVANS,tanta,20122055871,2022-01-12,male,62
49,TURNER,cairo,20189238741,2022-01-13,male,49
50,TORRES,cairo,2017589603,2022-01-14,male,44
51,PARKER,alex,20195290358,2022-01-15,male,58
52,COLLINS,alex,20150259466,2022-01-16,female,30
53,EDWARDS,alex,20142944992,2022-01-17,female,64
54,STEWART,cairo,20193927048,2022-01-18,male,54
55,FLORES,cairo,2017056012,2022-01-19,male,60
56,MORRIS,cairo,20115308178,2022-01-20,male,23
57,NGUYEN,alex,20134382558,2022-01-21,male,47
58,MURPHY,mansoura,20177465572,2022-01-22,male,37
59,RIVERA,tanta,20113036448,2022-01-23,female,39
60,COOK,cairo,20115763788,2022-01-24,female,34
61,ROGERS,cairo,20188334532,2022-01-25,male,60
62,MORGAN,alex,2013749931,2022-01-26,male,47
63,PETERSON,alex,20165126516,2022-01-27,male,62
64,COOPER,alex,20135471138,2022-01-12,female,61
65,REED,cairo,20148582626,2022-01-13,male,38
66,BAILEY,cairo,20112733139,2022-01-14,female,44
67,BELL,cairo,20137248497,2022-01-15,male,62
68,GOMEZ,alex,20183809238,2022-01-16,male,44
69,KELLY,mansoura,20165878555,2022-01-17,male,25
